Year,Month,Plant,"LE0 PPDS, THB/kg","LV PPDS, THB/kg","Act. PPDS, THB/kg",TTSA Price,"Act. PPDS cost against TTSA, THB/kg","Est. PPDS cost against TTSA, THB/kg","Est. PPDS accuracy, %","Act. PPDS accuracy, %","LE0 Starch content, %","LV Starch content, %","Act. Starch content, %",LE0 Price THB/kg,LV Price THB/kg,Act. Price THB/kg,"Est. Farmer contribution , %","Est. impurity, %","Act. impurity, %"
2023,Jan,Kalasin,10.8391608392,11.1803392177,11.1821422915,16.52,5.3378577085,4.9,0.97,0.9646164545,0.286,0.2889,0.2889016515,3.1,3.23,3.2305393757,0.59,0.0715,0.0627712814
2023,Feb,Kalasin,10.9712230216,11.4601311702,11.4525371419,16.9625,5.5099628581,4.9,0.97,0.9855883943,0.278,0.2897,0.2897,3.05,3.32,3.31780001,0.59,0.0715,0.0675681063
2023,Mar,Kalasin,11.1111111111,13.5056425191,13.5189882258,17.6,4.0810117742,4.9,0.97,0.8955074979,0.27,0.2747,0.2747161883,3,3.71,3.7138849149,0.59,0.0715,0.0752818829
2023,Apr,Kalasin,11.811023622,15.923566879,15.9376192286,17.95,2.0123807714,4.9,0.97,0.9121079025,0.254,0.2355,0.2354919666,3,3.75,3.7531812944,0.59,0.0715,0.0665534581
2023,May,Kalasin,12.3913043478,15.8627548483,15.8435698349,18.36,2.5164301651,4.9,0.97,0.9527101524,0.23,0.2011,0.2011091532,2.85,3.19,3.1862869124,0.59,0.0715,0.0753373808
2023,Jun,Kalasin,12.3404255319,14.7278548559,14.7046258682,18.425,3.7203741318,4.9,0.97,0.9324429847,0.235,0.1874,0.1882848452,2.9,2.76,2.7686582052,0.59,0.0715,0.0587828708
2023,Jul,Kalasin,12.2474226804,13.5355364418,13.5364973094,18.5,4.9635026906,4.9,0.97,0.9115486404,0.2425,0.2209,0.2209854962,2.97,2.99,2.9913695746,0.59,0.0715,0.0685448336
2023,Aug,Kalasin,12.0079522863,12.621789194,12.3308166196,18.5,6.1691833804,4.9,0.97,0.935570305,0.2515,0.2258,0.2352152741,3.02,2.85,2.900396411,0.59,0.0715,0.0682234543
2023,Sep,Kalasin,11.8823529412,12.731092437,13.061220794,18.6,5.538779206,4.9,0.97,0.9633951751,0.255,0.238,0.235004755,3.03,3.03,3.0694489921,0.59,0.0715,0.0748450659
2023,Oct,Kalasin,11.6538461538,12.6493613515,14.1672587095,18.7,4.5327412905,4.9,0.97,0.9785682257,0.26,0.2427,0.2297708275,3.03,3.07,3.2552227569,0.59,0.0715,0.0737103674
2023,Nov,Kalasin,11.4130434783,12.9921259843,15.8377149786,19.075,3.2372850214,4.9,0.97,0.9682270372,0.276,0.254,0.2413544026,3.15,3.3,3.8225022371,0.59,0.0715,0.0726707937
2023,Dec,Kalasin,11.1307420495,12.3388581952,14.5457029775,19.3,4.7542970225,4.9,0.97,0.9355043306,0.283,0.2715,0.2692245161,3.15,3.35,3.9160598458,0.59,0.0715,0.0571397619
2024,Jan,Kalasin,14.6296296296,14.3154868847,14.3155777159,19.075,4.7594222841,4.9,0.97,0.9989694316,0.27,0.2783,0.2783105825,3.95,3.984,3.9841767725,0.62,0.0677,0.0482766476
2024,Feb,Kalasin,14.5756457565,14.0489913545,14.0546527264,19.0625,5.0078472736,4.9,0.97,0.9960962338,0.271,0.2776,0.27763914,3.95,3.9,3.9021216953,0.62,0.0677,0.0511752377
2024,Mar,Kalasin,15.1645768025,14.3464810518,14.3408070743,19.1,4.7591929257,4.9,0.97,0.9936275737,0.2552,0.2586,0.2585764762,3.87,3.71,3.7081953594,0.62,0.0677,0.0480793713
2024,Apr,Kalasin,16.289978678,13.6853541938,13.6765700947,18.99,5.3134299053,4.9,0.97,0.9768978639,0.2345,0.2301,0.2301433316,3.82,3.149,3.1475714059,0.62,0.0677,0.0553742004
2024,May,Kalasin,16.9811320755,13.8957549704,13.9025533349,18.7375,4.8349466651,4.9,0.97,0.9792473083,0.212,0.1861,0.1861402809,3.6,2.586,2.5878251826,0.62,0.0677,0.0649090811
2024,Jun,Kalasin,17.2596153846,12.1937321937,12.1931435156,18.55,6.3568564844,4.9,0.97,0.9833180254,0.208,0.1755,0.1754704641,3.59,2.14,2.139536552,0.62,0.0677,0.0591471993
2024,Jul,Kalasin,16.2612612613,11.3489298158,11.3512615092,18.1,6.7487384908,4.9,0.97,0.9388967336,0.222,0.2009,0.2008624889,3.61,2.28,2.2800426392,0.62,0.0677,0.0654912548
2024,Aug,Kalasin,15.8189655172,9.9122807018,9.8179439602,17.725,7.9070560398,4.9,0.97,0.9167081195,0.232,0.228,0.2297160523,3.67,2.26,2.255339328,0.62,0.0677,0.0688025928
2024,Sep,Kalasin,15.7667386609,9.845704754,9.8804640527,17.0875,7.2070359473,4.9,0.97,0.9667773046,0.2315,0.2398,0.2439369461,3.65,2.361,2.4102102268,0.62,0.0677,0.0729981426
2024,Oct,Kalasin,15.5368421053,9.9466119097,9.5955960327,15.97,6.3744039673,4.9,0.97,0.9995412534,0.2375,0.2435,0.2492982729,3.69,2.422,2.3921655188,0.62,0.0677,0.077290999
2024,Nov,Kalasin,15.6213017751,10.0978473581,11.1146782907,14.825,3.7103217093,4.9,0.97,0.865849154,0.2535,0.2555,0.2447498937,3.96,2.58,2.7203163306,0.62,0.0677,0.0709319535
2024,Dec,Kalasin,15.0190114068,9.6666666667,9.5229685711,14.325,4.8020314289,4.9,0.97,0.9919758928,0.263,0.27,0.264270341,3.95,2.61,2.5166381516,0.62,0.0677,0.058138911
2025,Jan,Kalasin,9.4545454545,8.9821428571,8.983762309,13.95,4.966237691,4.7,0.97,0.9928569464,0.275,0.28,0.2799871102,2.6,2.515,2.5153376473,0.71,0.06,0.0555103898
2025,Feb,Kalasin,9.4202898551,8.7539710554,8.7660382618,14,5.2339617382,4.7,0.97,0.9325572619,0.276,0.2833,0.2833237188,2.6,2.48,2.4836265591,0.71,0.06,0.0566745622
2025,Mar,Kalasin,9.6153846154,7.9985119048,7.85395457,13.8875,6.03354543,4.7,0.97,0.9462595867,0.26,0.2688,0.2657125516,2.5,2.15,2.0868943089,0.71,0.06,0.0424
2025,Apr,Kalasin,10.5555555556,8.5185185185,8.1076634012,13.3,5.1923365988,4.7,0.97,0.9698161963,0.234,0.243,0.2354604119,2.47,2.07,1.9090337637,0.71,0.06,0.0530651535
2025,May,Kalasin,11.3106796117,9.0909090909,8.2725715431,13.1375,4.8649284569,4.7,0.97,0.9619269236,0.206,0.22,0.2065416417,2.33,2,1.7086305075,0.71,0.06,0.0415068249
2025,Jun,Kalasin,11.4356435644,9.2857142857,8.55003338,13.3833333333,4.8332999533,4.7,0.97,0.9884431653,0.202,0.21,0.2060392333,2.31,1.95,1.7616423225,0.71,0.06,0.0778560675
2025,Jul,Kalasin,10.6818181818,9.78,8.8182592633,13.57,4.7517407367,4.7,0.97,0.9625021515,0.22,0.2196,0.2259480646,2.35,2.15,1.9924686138,0.71,0.06,0.0806794356
2025,Aug,Kalasin,10.4255319149,8.6434829818,8.6293209401,13.5,4.8706790599,4.7,0.97,0.9532801982,0.235,0.2432874617,0.2440203654,2.45,2.1028510352,2.1057300493,0.71,0.06,0.0718415036
2025,Sep,Kalasin,10.2083333333,8.9186566454,8.7649616781,13.4,4.6350383219,4.7,0.97,0.9823373908,0.24,0.2421889401,0.2432597608,2.45,2.16,2.1321624815,0.71,0.06,0.0895948047
2025,Oct,Kalasin,9.9590163934,8.9,9.3423812398,13.475,4.1326187602,4.7,0.97,0.9499917826,0.244,0.25,0.2431854297,2.43,2.225,2.2719309965,0.71,0.06,0.0841063909
2025,Nov,Kalasin,10.3149606299,10.1998701852,10.2978426246,13.6,3.3021573754,4.7,0.97,0.9903947366,0.254,0.2504875052,0.2529108745,2.62,2.5549400359,2.6044363834,0.71,0.06,0.0909159703
2025,Dec,Kalasin,9.667896679,9.97,10.1030445752,13.925,3.8219554248,4.7,0.97,0.986655509,0.271,0.2644,0.2688498021,2.62,2.64,2.7162015345,0.71,0.06,0.066567079
